stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230801,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230801,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1349525,0.23
603883.SH,20230801,B01138,CLSA LTD,29730,0.0
603883.SH,20230801,B01161,UBS SECURITIES HONG KONG LTD,5922836,1.01
603883.SH,20230801,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230801,B01224,MERRILL LYNCH FAR EAST LTD,693476,0.11
603883.SH,20230801,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2605609,0.44
603883.SH,20230801,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230801,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2545885,0.43
603883.SH,20230801,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230801,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,266475,0.04
603883.SH,20230801,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230801,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20230801,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230801,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230801,C00010,CITIBANK N.A.,1077820,0.18
603883.SH,20230801,C00019,THE HONGKONG AND SHANGHAI BANKING,22191394,3.81
603883.SH,20230801,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230801,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6098986,1.04
603883.SH,20230801,C00093,BNP PARIBAS,4850227,0.83
603883.SH,20230801,C00100,"JPMORGAN CHASE BANK, NATIONAL",9645574,1.65
603883.SH,20230801,C00111,SOCIETE GENERALE,282000,0.04
