stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231220,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231220,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,194942,0.03
603883.SH,20231220,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20231220,B01138,CLSA LTD,3430,0.0
603883.SH,20231220,B01161,UBS SECURITIES HONG KONG LTD,846696,0.14
603883.SH,20231220,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231220,B01224,MERRILL LYNCH FAR EAST LTD,1242258,0.21
603883.SH,20231220,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3394744,0.58
603883.SH,20231220,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231220,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1476413,0.25
603883.SH,20231220,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231220,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,81622,0.01
603883.SH,20231220,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231220,B01914,JEFFERIES HONG KONG LTD,3700,0.0
603883.SH,20231220,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231220,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231220,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231220,C00010,CITIBANK N.A.,4373941,0.75
603883.SH,20231220,C00019,THE HONGKONG AND SHANGHAI BANKING,19111423,3.28
603883.SH,20231220,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20231220,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5291711,0.9
603883.SH,20231220,C00093,BNP PARIBAS,19706201,3.38
603883.SH,20231220,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
