stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240408,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240408,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2615920,0.44
603883.SH,20240408,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240408,B01138,CLSA LTD,3100,0.0
603883.SH,20240408,B01161,UBS SECURITIES HONG KONG LTD,939461,0.16
603883.SH,20240408,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240408,B01224,MERRILL LYNCH FAR EAST LTD,1294842,0.22
603883.SH,20240408,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1300,0.0
603883.SH,20240408,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1926240,0.33
603883.SH,20240408,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240408,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,547626,0.09
603883.SH,20240408,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240408,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,49572,0.0
603883.SH,20240408,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240408,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240408,B01955,FUTU SECURITIES INTERNATIONAL,5560,0.0
603883.SH,20240408,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240408,C00010,CITIBANK N.A.,6546009,1.12
603883.SH,20240408,C00019,THE HONGKONG AND SHANGHAI BANKING,13923024,2.38
603883.SH,20240408,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240408,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6010842,1.03
603883.SH,20240408,C00093,BNP PARIBAS,20990629,3.6
603883.SH,20240408,C00100,"JPMORGAN CHASE BANK, NATIONAL",5775610,0.99
