stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231223,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231223,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,204242,0.03
603883.SH,20231223,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20231223,B01138,CLSA LTD,3530,0.0
603883.SH,20231223,B01161,UBS SECURITIES HONG KONG LTD,786796,0.13
603883.SH,20231223,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231223,B01224,MERRILL LYNCH FAR EAST LTD,1142591,0.19
603883.SH,20231223,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3653204,0.62
603883.SH,20231223,B01284,HANG SENG SECURITIES LTD,10000,0.0
603883.SH,20231223,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231223,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1765964,0.3
603883.SH,20231223,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231223,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,88622,0.01
603883.SH,20231223,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231223,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231223,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231223,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231223,C00010,CITIBANK N.A.,4820431,0.82
603883.SH,20231223,C00019,THE HONGKONG AND SHANGHAI BANKING,19171054,3.29
603883.SH,20231223,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20231223,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5337011,0.91
603883.SH,20231223,C00093,BNP PARIBAS,19633601,3.37
603883.SH,20231223,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
