stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230718,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230718,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1022225,0.17
603883.SH,20230718,B01138,CLSA LTD,21230,0.0
603883.SH,20230718,B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,104000,0.01
603883.SH,20230718,B01161,UBS SECURITIES HONG KONG LTD,5545139,0.95
603883.SH,20230718,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230718,B01224,MERRILL LYNCH FAR EAST LTD,616176,0.1
603883.SH,20230718,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2847585,0.48
603883.SH,20230718,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230718,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2248345,0.38
603883.SH,20230718,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230718,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,240575,0.04
603883.SH,20230718,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230718,B01914,JEFFERIES HONG KONG LTD,44900,0.0
603883.SH,20230718,B01943,PO SANG SECURITIES LTD,4394,0.0
603883.SH,20230718,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230718,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230718,C00010,CITIBANK N.A.,854590,0.14
603883.SH,20230718,C00019,THE HONGKONG AND SHANGHAI BANKING,21859532,3.75
603883.SH,20230718,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230718,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6013086,1.03
603883.SH,20230718,C00093,BNP PARIBAS,5571907,0.95
603883.SH,20230718,C00100,"JPMORGAN CHASE BANK, NATIONAL",9515374,1.63
603883.SH,20230718,C00111,SOCIETE GENERALE,227600,0.03
