stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240411,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240411,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2731710,0.46
603883.SH,20240411,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240411,B01138,CLSA LTD,3900,0.0
603883.SH,20240411,B01161,UBS SECURITIES HONG KONG LTD,907661,0.15
603883.SH,20240411,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240411,B01224,MERRILL LYNCH FAR EAST LTD,1325442,0.22
603883.SH,20240411,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1300,0.0
603883.SH,20240411,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1735053,0.29
603883.SH,20240411,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240411,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,511626,0.08
603883.SH,20240411,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240411,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,56672,0.0
603883.SH,20240411,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240411,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240411,B01955,FUTU SECURITIES INTERNATIONAL,5560,0.0
603883.SH,20240411,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240411,C00010,CITIBANK N.A.,6547459,1.12
603883.SH,20240411,C00019,THE HONGKONG AND SHANGHAI BANKING,13944206,2.39
603883.SH,20240411,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240411,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6012742,1.03
603883.SH,20240411,C00093,BNP PARIBAS,20982589,3.59
603883.SH,20240411,C00100,"JPMORGAN CHASE BANK, NATIONAL",5915828,1.01
603883.SH,20240411,C00111,SOCIETE GENERALE,1200,0.0
