stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230731,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230731,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1334825,0.22
603883.SH,20230731,B01138,CLSA LTD,29130,0.0
603883.SH,20230731,B01161,UBS SECURITIES HONG KONG LTD,5940236,1.02
603883.SH,20230731,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230731,B01224,MERRILL LYNCH FAR EAST LTD,679776,0.11
603883.SH,20230731,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2632489,0.45
603883.SH,20230731,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230731,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2437285,0.41
603883.SH,20230731,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230731,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,271375,0.04
603883.SH,20230731,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230731,B01824,INSTINET PACIFIC LTD,5900,0.0
603883.SH,20230731,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20230731,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230731,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230731,C00010,CITIBANK N.A.,1061020,0.18
603883.SH,20230731,C00019,THE HONGKONG AND SHANGHAI BANKING,22191394,3.81
603883.SH,20230731,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230731,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6093086,1.04
603883.SH,20230731,C00093,BNP PARIBAS,4982437,0.85
603883.SH,20230731,C00100,"JPMORGAN CHASE BANK, NATIONAL",9645574,1.65
603883.SH,20230731,C00111,SOCIETE GENERALE,288300,0.04
