stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240508,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240508,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,3185298,0.54
603883.SH,20240508,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240508,B01138,CLSA LTD,6100,0.0
603883.SH,20240508,B01161,UBS SECURITIES HONG KONG LTD,656727,0.11
603883.SH,20240508,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240508,B01224,MERRILL LYNCH FAR EAST LTD,1399585,0.24
603883.SH,20240508,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1889481,0.32
603883.SH,20240508,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240508,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,642253,0.11
603883.SH,20240508,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240508,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,32472,0.0
603883.SH,20240508,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240508,B01824,INSTINET PACIFIC LTD,51040,0.0
603883.SH,20240508,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240508,B01955,FUTU SECURITIES INTERNATIONAL,4750,0.0
603883.SH,20240508,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240508,C00010,CITIBANK N.A.,6578773,1.12
603883.SH,20240508,C00019,THE HONGKONG AND SHANGHAI BANKING,13940306,2.39
603883.SH,20240508,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240508,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6504142,1.11
603883.SH,20240508,C00093,BNP PARIBAS,20428059,3.5
603883.SH,20240508,C00100,"JPMORGAN CHASE BANK, NATIONAL",5875028,1.0
603883.SH,20240508,C00111,SOCIETE GENERALE,63100,0.01
