stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240418,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240418,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2668060,0.45
603883.SH,20240418,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240418,B01138,CLSA LTD,3900,0.0
603883.SH,20240418,B01161,UBS SECURITIES HONG KONG LTD,856327,0.14
603883.SH,20240418,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240418,B01224,MERRILL LYNCH FAR EAST LTD,1506867,0.25
603883.SH,20240418,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1300,0.0
603883.SH,20240418,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1552823,0.26
603883.SH,20240418,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240418,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,507232,0.08
603883.SH,20240418,B01555,ABN AMRO CLEARING HONG KONG LTD,100,0.0
603883.SH,20240418,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240418,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,44172,0.0
603883.SH,20240418,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240418,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240418,B01955,FUTU SECURITIES INTERNATIONAL,4650,0.0
603883.SH,20240418,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240418,C00010,CITIBANK N.A.,6508983,1.11
603883.SH,20240418,C00019,THE HONGKONG AND SHANGHAI BANKING,13944206,2.39
603883.SH,20240418,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240418,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6033842,1.03
603883.SH,20240418,C00093,BNP PARIBAS,21318689,3.65
603883.SH,20240418,C00100,"JPMORGAN CHASE BANK, NATIONAL",5915828,1.01
603883.SH,20240418,C00111,SOCIETE GENERALE,62600,0.01
