stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230911,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230911,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1355782,0.23
603883.SH,20230911,B01138,CLSA LTD,74448,0.01
603883.SH,20230911,B01161,UBS SECURITIES HONG KONG LTD,3433168,0.58
603883.SH,20230911,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230911,B01224,MERRILL LYNCH FAR EAST LTD,960810,0.16
603883.SH,20230911,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2332606,0.4
603883.SH,20230911,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230911,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1898248,0.32
603883.SH,20230911,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230911,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,197775,0.03
603883.SH,20230911,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230911,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20230911,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230911,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230911,C00010,CITIBANK N.A.,1021094,0.17
603883.SH,20230911,C00019,THE HONGKONG AND SHANGHAI BANKING,18932766,3.25
603883.SH,20230911,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20230911,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5439710,0.93
603883.SH,20230911,C00093,BNP PARIBAS,4573547,0.78
603883.SH,20230911,C00100,"JPMORGAN CHASE BANK, NATIONAL",10930219,1.87
603883.SH,20230911,C00111,SOCIETE GENERALE,286000,0.04
