stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230726,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230726,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1341925,0.23
603883.SH,20230726,B01138,CLSA LTD,30830,0.0
603883.SH,20230726,B01161,UBS SECURITIES HONG KONG LTD,5911036,1.01
603883.SH,20230726,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230726,B01224,MERRILL LYNCH FAR EAST LTD,720176,0.12
603883.SH,20230726,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2774785,0.47
603883.SH,20230726,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230726,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2389585,0.41
603883.SH,20230726,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230726,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,271975,0.04
603883.SH,20230726,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230726,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20230726,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230726,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230726,C00010,CITIBANK N.A.,954390,0.16
603883.SH,20230726,C00019,THE HONGKONG AND SHANGHAI BANKING,22175922,3.8
603883.SH,20230726,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230726,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6059586,1.04
603883.SH,20230726,C00093,BNP PARIBAS,5222207,0.89
603883.SH,20230726,C00100,"JPMORGAN CHASE BANK, NATIONAL",9632574,1.65
603883.SH,20230726,C00111,SOCIETE GENERALE,230500,0.03
