stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231106,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231106,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1021926,0.17
603883.SH,20231106,B01138,CLSA LTD,134948,0.02
603883.SH,20231106,B01161,UBS SECURITIES HONG KONG LTD,1244728,0.21
603883.SH,20231106,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231106,B01224,MERRILL LYNCH FAR EAST LTD,858536,0.14
603883.SH,20231106,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2537638,0.43
603883.SH,20231106,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231106,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1833951,0.31
603883.SH,20231106,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231106,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,142397,0.02
603883.SH,20231106,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231106,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231106,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231106,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231106,C00010,CITIBANK N.A.,889149,0.15
603883.SH,20231106,C00019,THE HONGKONG AND SHANGHAI BANKING,19733149,3.38
603883.SH,20231106,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231106,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5073809,0.87
603883.SH,20231106,C00093,BNP PARIBAS,9330461,1.6
603883.SH,20231106,C00100,"JPMORGAN CHASE BANK, NATIONAL",3214840,0.55
603883.SH,20231106,C00111,SOCIETE GENERALE,51200,0.0
