stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240619,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240619,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,3157799,0.54
603883.SH,20240619,B01130,BOCI SECURITIES LTD,200,0.0
603883.SH,20240619,B01138,CLSA LTD,800,0.0
603883.SH,20240619,B01161,UBS SECURITIES HONG KONG LTD,943458,0.16
603883.SH,20240619,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240619,B01224,MERRILL LYNCH FAR EAST LTD,3035917,0.52
603883.SH,20240619,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2718071,0.46
603883.SH,20240619,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240619,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1209658,0.2
603883.SH,20240619,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240619,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,70452,0.01
603883.SH,20240619,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1040,0.0
603883.SH,20240619,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240619,B01955,FUTU SECURITIES INTERNATIONAL,12750,0.0
603883.SH,20240619,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240619,C00010,CITIBANK N.A.,6620654,1.13
603883.SH,20240619,C00019,THE HONGKONG AND SHANGHAI BANKING,9700315,1.66
603883.SH,20240619,C00033,BANK OF CHINA (HONG KONG) LTD,44410,0.0
603883.SH,20240619,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5999254,1.02
603883.SH,20240619,C00093,BNP PARIBAS,21659802,3.71
603883.SH,20240619,C00100,"JPMORGAN CHASE BANK, NATIONAL",8330836,1.42
603883.SH,20240619,C00111,SOCIETE GENERALE,83100,0.01
