stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240103,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240103,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,178692,0.03
603883.SH,20240103,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240103,B01138,CLSA LTD,2530,0.0
603883.SH,20240103,B01161,UBS SECURITIES HONG KONG LTD,288396,0.04
603883.SH,20240103,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240103,B01224,MERRILL LYNCH FAR EAST LTD,694441,0.11
603883.SH,20240103,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2035794,0.34
603883.SH,20240103,B01284,HANG SENG SECURITIES LTD,15000,0.0
603883.SH,20240103,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240103,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2243985,0.38
603883.SH,20240103,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20240103,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,32222,0.0
603883.SH,20240103,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240103,B01914,JEFFERIES HONG KONG LTD,19700,0.0
603883.SH,20240103,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240103,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240103,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240103,C00010,CITIBANK N.A.,5431197,0.93
603883.SH,20240103,C00019,THE HONGKONG AND SHANGHAI BANKING,18259298,3.13
603883.SH,20240103,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240103,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5312311,0.91
603883.SH,20240103,C00093,BNP PARIBAS,20541731,3.52
603883.SH,20240103,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
