stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231217,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231217,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,246782,0.04
603883.SH,20231217,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20231217,B01138,CLSA LTD,3130,0.0
603883.SH,20231217,B01161,UBS SECURITIES HONG KONG LTD,436996,0.07
603883.SH,20231217,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231217,B01224,MERRILL LYNCH FAR EAST LTD,1295500,0.22
603883.SH,20231217,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3695296,0.63
603883.SH,20231217,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231217,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1467723,0.25
603883.SH,20231217,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231217,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,48222,0.0
603883.SH,20231217,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231217,B01914,JEFFERIES HONG KONG LTD,5200,0.0
603883.SH,20231217,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231217,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231217,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231217,C00010,CITIBANK N.A.,4234341,0.72
603883.SH,20231217,C00019,THE HONGKONG AND SHANGHAI BANKING,19094723,3.27
603883.SH,20231217,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20231217,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5224511,0.89
603883.SH,20231217,C00093,BNP PARIBAS,19893524,3.41
603883.SH,20231217,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
