stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231221,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231221,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,149642,0.02
603883.SH,20231221,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20231221,B01138,CLSA LTD,3530,0.0
603883.SH,20231221,B01161,UBS SECURITIES HONG KONG LTD,723996,0.12
603883.SH,20231221,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231221,B01224,MERRILL LYNCH FAR EAST LTD,1236098,0.21
603883.SH,20231221,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3578444,0.61
603883.SH,20231221,B01284,HANG SENG SECURITIES LTD,10000,0.0
603883.SH,20231221,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231221,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1860383,0.31
603883.SH,20231221,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231221,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,95153,0.01
603883.SH,20231221,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231221,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231221,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231221,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231221,C00010,CITIBANK N.A.,4324831,0.74
603883.SH,20231221,C00019,THE HONGKONG AND SHANGHAI BANKING,19134623,3.28
603883.SH,20231221,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20231221,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5337011,0.91
603883.SH,20231221,C00093,BNP PARIBAS,19629701,3.37
603883.SH,20231221,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
