stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231012,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231012,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1162480,0.19
603883.SH,20231012,B01138,CLSA LTD,136048,0.02
603883.SH,20231012,B01161,UBS SECURITIES HONG KONG LTD,1873545,0.32
603883.SH,20231012,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231012,B01224,MERRILL LYNCH FAR EAST LTD,1021475,0.17
603883.SH,20231012,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2049912,0.35
603883.SH,20231012,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231012,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2586618,0.44
603883.SH,20231012,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231012,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,166597,0.02
603883.SH,20231012,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231012,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20231012,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231012,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231012,C00010,CITIBANK N.A.,1004131,0.17
603883.SH,20231012,C00019,THE HONGKONG AND SHANGHAI BANKING,21107681,3.62
603883.SH,20231012,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231012,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5373809,0.92
603883.SH,20231012,C00093,BNP PARIBAS,7777248,1.33
603883.SH,20231012,C00100,"JPMORGAN CHASE BANK, NATIONAL",6890021,1.18
603883.SH,20231012,C00111,SOCIETE GENERALE,245400,0.04
