stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240121,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240121,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,162220,0.02
603883.SH,20240121,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240121,B01161,UBS SECURITIES HONG KONG LTD,374163,0.06
603883.SH,20240121,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240121,B01224,MERRILL LYNCH FAR EAST LTD,488811,0.08
603883.SH,20240121,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1019467,0.17
603883.SH,20240121,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240121,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240121,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2206415,0.37
603883.SH,20240121,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240121,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,24052,0.0
603883.SH,20240121,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240121,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240121,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240121,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240121,C00010,CITIBANK N.A.,6948007,1.19
603883.SH,20240121,C00019,THE HONGKONG AND SHANGHAI BANKING,18018498,3.09
603883.SH,20240121,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240121,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5534562,0.95
603883.SH,20240121,C00093,BNP PARIBAS,19695075,3.38
603883.SH,20240121,C00100,"JPMORGAN CHASE BANK, NATIONAL",2871240,0.49
