stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230913,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230913,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1244972,0.21
603883.SH,20230913,B01138,CLSA LTD,144148,0.02
603883.SH,20230913,B01161,UBS SECURITIES HONG KONG LTD,3236568,0.55
603883.SH,20230913,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230913,B01224,MERRILL LYNCH FAR EAST LTD,854552,0.14
603883.SH,20230913,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2156224,0.37
603883.SH,20230913,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230913,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2589948,0.44
603883.SH,20230913,B01590,INTERACTIVE BROKERS HONG KONG LTD,1999,0.0
603883.SH,20230913,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,191875,0.03
603883.SH,20230913,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230913,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20230913,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230913,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230913,C00010,CITIBANK N.A.,993694,0.17
603883.SH,20230913,C00019,THE HONGKONG AND SHANGHAI BANKING,20730066,3.55
603883.SH,20230913,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20230913,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5471710,0.93
603883.SH,20230913,C00093,BNP PARIBAS,6279780,1.07
603883.SH,20230913,C00100,"JPMORGAN CHASE BANK, NATIONAL",10930219,1.87
603883.SH,20230913,C00111,SOCIETE GENERALE,286000,0.04
