stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240617,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240617,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,3147587,0.53
603883.SH,20240617,B01130,BOCI SECURITIES LTD,200,0.0
603883.SH,20240617,B01138,CLSA LTD,2900,0.0
603883.SH,20240617,B01161,UBS SECURITIES HONG KONG LTD,1108758,0.19
603883.SH,20240617,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240617,B01224,MERRILL LYNCH FAR EAST LTD,3177637,0.54
603883.SH,20240617,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2647671,0.45
603883.SH,20240617,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240617,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1284158,0.22
603883.SH,20240617,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240617,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,85032,0.01
603883.SH,20240617,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1040,0.0
603883.SH,20240617,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240617,B01955,FUTU SECURITIES INTERNATIONAL,12750,0.0
603883.SH,20240617,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240617,C00010,CITIBANK N.A.,6687854,1.14
603883.SH,20240617,C00019,THE HONGKONG AND SHANGHAI BANKING,9560845,1.63
603883.SH,20240617,C00033,BANK OF CHINA (HONG KONG) LTD,44410,0.0
603883.SH,20240617,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5990624,1.02
603883.SH,20240617,C00093,BNP PARIBAS,21358402,3.66
603883.SH,20240617,C00100,"JPMORGAN CHASE BANK, NATIONAL",8302236,1.42
603883.SH,20240617,C00111,SOCIETE GENERALE,66500,0.01
