stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230712,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230712,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1061895,0.18
603883.SH,20230712,B01138,CLSA LTD,9530,0.0
603883.SH,20230712,B01161,UBS SECURITIES HONG KONG LTD,5559688,0.95
603883.SH,20230712,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230712,B01224,MERRILL LYNCH FAR EAST LTD,605246,0.1
603883.SH,20230712,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3100606,0.53
603883.SH,20230712,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230712,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2228945,0.38
603883.SH,20230712,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230712,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,246175,0.04
603883.SH,20230712,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230712,B01824,INSTINET PACIFIC LTD,21300,0.0
603883.SH,20230712,B01943,PO SANG SECURITIES LTD,4394,0.0
603883.SH,20230712,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230712,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230712,C00010,CITIBANK N.A.,783691,0.13
603883.SH,20230712,C00019,THE HONGKONG AND SHANGHAI BANKING,21846332,3.75
603883.SH,20230712,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230712,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5987686,1.02
603883.SH,20230712,C00093,BNP PARIBAS,5533957,0.95
603883.SH,20230712,C00100,"JPMORGAN CHASE BANK, NATIONAL",9514774,1.63
603883.SH,20230712,C00111,SOCIETE GENERALE,231400,0.03
