stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230719,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230719,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1025125,0.17
603883.SH,20230719,B01138,CLSA LTD,20030,0.0
603883.SH,20230719,B01161,UBS SECURITIES HONG KONG LTD,5564139,0.95
603883.SH,20230719,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230719,B01224,MERRILL LYNCH FAR EAST LTD,587176,0.1
603883.SH,20230719,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2855685,0.49
603883.SH,20230719,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230719,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2306245,0.39
603883.SH,20230719,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230719,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,230275,0.03
603883.SH,20230719,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230719,B01914,JEFFERIES HONG KONG LTD,26700,0.0
603883.SH,20230719,B01943,PO SANG SECURITIES LTD,4394,0.0
603883.SH,20230719,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230719,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230719,C00010,CITIBANK N.A.,887090,0.15
603883.SH,20230719,C00019,THE HONGKONG AND SHANGHAI BANKING,21901332,3.76
603883.SH,20230719,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230719,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6028886,1.03
603883.SH,20230719,C00093,BNP PARIBAS,5544807,0.95
603883.SH,20230719,C00100,"JPMORGAN CHASE BANK, NATIONAL",9577574,1.64
603883.SH,20230719,C00111,SOCIETE GENERALE,225700,0.03
