stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231102,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231102,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1014826,0.17
603883.SH,20231102,B01138,CLSA LTD,134648,0.02
603883.SH,20231102,B01161,UBS SECURITIES HONG KONG LTD,1268328,0.21
603883.SH,20231102,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231102,B01224,MERRILL LYNCH FAR EAST LTD,873036,0.14
603883.SH,20231102,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1538938,0.26
603883.SH,20231102,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231102,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2040251,0.35
603883.SH,20231102,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231102,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,148197,0.02
603883.SH,20231102,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231102,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20231102,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231102,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231102,C00010,CITIBANK N.A.,883209,0.15
603883.SH,20231102,C00019,THE HONGKONG AND SHANGHAI BANKING,19828349,3.4
603883.SH,20231102,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231102,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5073809,0.87
603883.SH,20231102,C00093,BNP PARIBAS,8646052,1.48
603883.SH,20231102,C00100,"JPMORGAN CHASE BANK, NATIONAL",3214840,0.55
603883.SH,20231102,C00111,SOCIETE GENERALE,34500,0.0
