stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231117,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231117,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,556786,0.09
603883.SH,20231117,B01138,CLSA LTD,7848,0.0
603883.SH,20231117,B01161,UBS SECURITIES HONG KONG LTD,510445,0.08
603883.SH,20231117,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231117,B01224,MERRILL LYNCH FAR EAST LTD,1618165,0.27
603883.SH,20231117,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1861722,0.31
603883.SH,20231117,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231117,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1648723,0.28
603883.SH,20231117,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231117,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,26792,0.0
603883.SH,20231117,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231117,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231117,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231117,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231117,C00010,CITIBANK N.A.,4141548,0.71
603883.SH,20231117,C00019,THE HONGKONG AND SHANGHAI BANKING,19273043,3.3
603883.SH,20231117,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231117,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5250192,0.9
603883.SH,20231117,C00093,BNP PARIBAS,18316567,3.14
603883.SH,20231117,C00100,"JPMORGAN CHASE BANK, NATIONAL",3032740,0.52
