stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231030,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231030,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1202226,0.2
603883.SH,20231030,B01138,CLSA LTD,146348,0.02
603883.SH,20231030,B01161,UBS SECURITIES HONG KONG LTD,1172797,0.2
603883.SH,20231030,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231030,B01224,MERRILL LYNCH FAR EAST LTD,964437,0.16
603883.SH,20231030,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2243366,0.38
603883.SH,20231030,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231030,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2253151,0.38
603883.SH,20231030,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231030,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,148997,0.02
603883.SH,20231030,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231030,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20231030,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231030,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231030,C00010,CITIBANK N.A.,923110,0.15
603883.SH,20231030,C00019,THE HONGKONG AND SHANGHAI BANKING,19837829,3.4
603883.SH,20231030,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231030,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5073809,0.87
603883.SH,20231030,C00093,BNP PARIBAS,7689174,1.32
603883.SH,20231030,C00100,"JPMORGAN CHASE BANK, NATIONAL",3163740,0.54
603883.SH,20231030,C00111,SOCIETE GENERALE,85400,0.01
