stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230807,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230807,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1424188,0.24
603883.SH,20230807,B01138,CLSA LTD,59030,0.01
603883.SH,20230807,B01161,UBS SECURITIES HONG KONG LTD,5479336,0.94
603883.SH,20230807,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230807,B01224,MERRILL LYNCH FAR EAST LTD,805406,0.13
603883.SH,20230807,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2382466,0.4
603883.SH,20230807,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230807,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2228985,0.38
603883.SH,20230807,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230807,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,201675,0.03
603883.SH,20230807,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230807,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20230807,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230807,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230807,C00010,CITIBANK N.A.,1095620,0.18
603883.SH,20230807,C00019,THE HONGKONG AND SHANGHAI BANKING,21933142,3.76
603883.SH,20230807,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230807,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6118386,1.05
603883.SH,20230807,C00093,BNP PARIBAS,4557962,0.78
603883.SH,20230807,C00100,"JPMORGAN CHASE BANK, NATIONAL",11077295,1.9
603883.SH,20230807,C00111,SOCIETE GENERALE,223200,0.03
