stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240311,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240311,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2309353,0.39
603883.SH,20240311,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240311,B01138,CLSA LTD,2200,0.0
603883.SH,20240311,B01161,UBS SECURITIES HONG KONG LTD,1340758,0.23
603883.SH,20240311,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240311,B01224,MERRILL LYNCH FAR EAST LTD,638109,0.1
603883.SH,20240311,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,5000,0.0
603883.SH,20240311,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,553940,0.09
603883.SH,20240311,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240311,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240311,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,856306,0.14
603883.SH,20240311,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240311,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,42452,0.0
603883.SH,20240311,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240311,B01901,CMB INTERNATIONAL SECURITIES LTD,10900,0.0
603883.SH,20240311,B01914,JEFFERIES HONG KONG LTD,5200,0.0
603883.SH,20240311,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240311,B01955,FUTU SECURITIES INTERNATIONAL,5560,0.0
603883.SH,20240311,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240311,C00010,CITIBANK N.A.,6556540,1.12
603883.SH,20240311,C00019,THE HONGKONG AND SHANGHAI BANKING,17342322,2.97
603883.SH,20240311,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240311,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6015262,1.03
603883.SH,20240311,C00093,BNP PARIBAS,20261170,3.47
603883.SH,20240311,C00100,"JPMORGAN CHASE BANK, NATIONAL",2879838,0.49
