stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231124,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231124,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,388524,0.06
603883.SH,20231124,B01138,CLSA LTD,5148,0.0
603883.SH,20231124,B01161,UBS SECURITIES HONG KONG LTD,265901,0.04
603883.SH,20231124,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231124,B01224,MERRILL LYNCH FAR EAST LTD,1409592,0.24
603883.SH,20231124,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2663534,0.45
603883.SH,20231124,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231124,B01353,UOB KAY HIAN (HONG KONG) LTD,29000,0.0
603883.SH,20231124,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1591623,0.27
603883.SH,20231124,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231124,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,27292,0.0
603883.SH,20231124,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231124,B01904,VALUABLE CAPITAL LTD,300,0.0
603883.SH,20231124,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231124,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231124,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231124,C00010,CITIBANK N.A.,4195298,0.72
603883.SH,20231124,C00019,THE HONGKONG AND SHANGHAI BANKING,19260623,3.3
603883.SH,20231124,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231124,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5274192,0.9
603883.SH,20231124,C00093,BNP PARIBAS,19066237,3.27
603883.SH,20231124,C00100,"JPMORGAN CHASE BANK, NATIONAL",3032740,0.52
