stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230823,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230823,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,996882,0.17
603883.SH,20230823,B01138,CLSA LTD,127630,0.02
603883.SH,20230823,B01161,UBS SECURITIES HONG KONG LTD,3279853,0.56
603883.SH,20230823,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230823,B01224,MERRILL LYNCH FAR EAST LTD,761350,0.13
603883.SH,20230823,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2077364,0.35
603883.SH,20230823,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230823,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1844894,0.31
603883.SH,20230823,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230823,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,182175,0.03
603883.SH,20230823,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230823,B01824,INSTINET PACIFIC LTD,6000,0.0
603883.SH,20230823,B01943,PO SANG SECURITIES LTD,7394,0.0
603883.SH,20230823,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230823,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230823,C00010,CITIBANK N.A.,1105120,0.18
603883.SH,20230823,C00019,THE HONGKONG AND SHANGHAI BANKING,18911506,3.24
603883.SH,20230823,C00033,BANK OF CHINA (HONG KONG) LTD,7270,0.0
603883.SH,20230823,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5938888,1.01
603883.SH,20230823,C00093,BNP PARIBAS,4326442,0.74
603883.SH,20230823,C00100,"JPMORGAN CHASE BANK, NATIONAL",11069295,1.9
603883.SH,20230823,C00111,SOCIETE GENERALE,239700,0.04
