stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231213,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231213,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,248452,0.04
603883.SH,20231213,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20231213,B01138,CLSA LTD,2630,0.0
603883.SH,20231213,B01161,UBS SECURITIES HONG KONG LTD,401296,0.06
603883.SH,20231213,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231213,B01224,MERRILL LYNCH FAR EAST LTD,1311613,0.22
603883.SH,20231213,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,4560409,0.78
603883.SH,20231213,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231213,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1523923,0.26
603883.SH,20231213,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231213,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,40822,0.0
603883.SH,20231213,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231213,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231213,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231213,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231213,C00010,CITIBANK N.A.,4243541,0.72
603883.SH,20231213,C00019,THE HONGKONG AND SHANGHAI BANKING,19095323,3.27
603883.SH,20231213,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20231213,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5215641,0.89
603883.SH,20231213,C00093,BNP PARIBAS,19890125,3.41
603883.SH,20231213,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
