stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231019,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231019,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1078026,0.18
603883.SH,20231019,B01138,CLSA LTD,134848,0.02
603883.SH,20231019,B01161,UBS SECURITIES HONG KONG LTD,1783245,0.3
603883.SH,20231019,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231019,B01224,MERRILL LYNCH FAR EAST LTD,923920,0.15
603883.SH,20231019,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1997232,0.34
603883.SH,20231019,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231019,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2604554,0.44
603883.SH,20231019,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231019,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,169197,0.02
603883.SH,20231019,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231019,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20231019,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231019,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231019,C00010,CITIBANK N.A.,995400,0.17
603883.SH,20231019,C00019,THE HONGKONG AND SHANGHAI BANKING,20370224,3.49
603883.SH,20231019,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231019,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5222609,0.89
603883.SH,20231019,C00093,BNP PARIBAS,7503152,1.28
603883.SH,20231019,C00100,"JPMORGAN CHASE BANK, NATIONAL",3241530,0.55
603883.SH,20231019,C00111,SOCIETE GENERALE,81100,0.01
