stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240127,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240127,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,159220,0.02
603883.SH,20240127,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240127,B01138,CLSA LTD,1000,0.0
603883.SH,20240127,B01161,UBS SECURITIES HONG KONG LTD,349673,0.06
603883.SH,20240127,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240127,B01224,MERRILL LYNCH FAR EAST LTD,1059878,0.18
603883.SH,20240127,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1182057,0.2
603883.SH,20240127,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240127,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240127,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2276945,0.39
603883.SH,20240127,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240127,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,30452,0.0
603883.SH,20240127,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240127,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240127,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240127,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240127,C00010,CITIBANK N.A.,6923207,1.18
603883.SH,20240127,C00019,THE HONGKONG AND SHANGHAI BANKING,18018498,3.09
603883.SH,20240127,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240127,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5393462,0.92
603883.SH,20240127,C00093,BNP PARIBAS,20143375,3.45
603883.SH,20240127,C00100,"JPMORGAN CHASE BANK, NATIONAL",2871240,0.49
603883.SH,20240127,C00111,SOCIETE GENERALE,22900,0.0
