stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231026,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231026,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1184826,0.2
603883.SH,20231026,B01138,CLSA LTD,116448,0.01
603883.SH,20231026,B01161,UBS SECURITIES HONG KONG LTD,1076395,0.18
603883.SH,20231026,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231026,B01224,MERRILL LYNCH FAR EAST LTD,836550,0.14
603883.SH,20231026,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2153663,0.36
603883.SH,20231026,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231026,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2302051,0.39
603883.SH,20231026,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20231026,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,161097,0.02
603883.SH,20231026,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231026,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20231026,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231026,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231026,C00010,CITIBANK N.A.,940610,0.16
603883.SH,20231026,C00019,THE HONGKONG AND SHANGHAI BANKING,19988424,3.43
603883.SH,20231026,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231026,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5073809,0.87
603883.SH,20231026,C00093,BNP PARIBAS,7663152,1.31
603883.SH,20231026,C00100,"JPMORGAN CHASE BANK, NATIONAL",3175730,0.54
603883.SH,20231026,C00111,SOCIETE GENERALE,81100,0.01
