stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240108,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240108,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,250974,0.04
603883.SH,20240108,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240108,B01138,CLSA LTD,130,0.0
603883.SH,20240108,B01161,UBS SECURITIES HONG KONG LTD,358647,0.06
603883.SH,20240108,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240108,B01224,MERRILL LYNCH FAR EAST LTD,423171,0.07
603883.SH,20240108,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1777501,0.3
603883.SH,20240108,B01284,HANG SENG SECURITIES LTD,7500,0.0
603883.SH,20240108,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240108,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2562133,0.43
603883.SH,20240108,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20240108,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,71552,0.01
603883.SH,20240108,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240108,B01914,JEFFERIES HONG KONG LTD,19800,0.0
603883.SH,20240108,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240108,B01955,FUTU SECURITIES INTERNATIONAL,6990,0.0
603883.SH,20240108,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240108,C00010,CITIBANK N.A.,6139047,1.05
603883.SH,20240108,C00019,THE HONGKONG AND SHANGHAI BANKING,18419998,3.16
603883.SH,20240108,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240108,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5458202,0.93
603883.SH,20240108,C00093,BNP PARIBAS,20553856,3.52
603883.SH,20240108,C00100,"JPMORGAN CHASE BANK, NATIONAL",3074040,0.52
